Art.6,Classification Rules,"AI systems shall be classified as high-risk where they are used in areas listed in Annex III, including biometric identification, critical infrastructure, education, employment, essential services, law enforcement, migration, and administration of justice."
Art.8,Compliance Requirements,"High-risk AI systems shall comply with the requirements laid down in Chapter 2, taking into account the intended purpose and the generally acknowledged state of the art."
Art.9(1),Risk Management System,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems as a continuous iterative process throughout the entire lifecycle."
Art.9(2),Risk Identification,"The risk management system shall identify and analyse the known and reasonably foreseeable risks that the high-risk AI system can pose to health, safety or fundamental rights."
Art.9(4),Risk Mitigation,"Appropriate and targeted risk management measures shall be adopted to address identified risks, including through design and development choices."
Art.10(1),Data Governance,"High-risk AI systems which make use of techniques involving the training of AI models with data shall be developed on the basis of training, validation and testing data sets that meet quality criteria."
Art.10(2),Data Quality,"Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose of the AI system."
Art.10(3),Data Relevance,"Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible free of errors and complete in view of the intended purpose."
Art.10(5),Data Bias Examination,"To the extent that it is strictly necessary for the purposes of ensuring bias detection and correction, the providers of high-risk AI systems may exceptionally process special categories of personal data."
Art.11(1),Technical Documentation,"Technical documentation of a high-risk AI system shall be drawn up before that system is placed on the market or put into service and shall be kept up to date."
Art.12(1),Record-Keeping,"High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system."
Art.12(2),Logging Capabilities,"Logging capabilities shall ensure a level of traceability of the AI system's functioning throughout its lifecycle that is appropriate to the intended purpose of the system."
Art.13(1),Transparency,"High-risk AI systems shall be designed and developed in such a way as to ensure that their operation is sufficiently transparent to enable deployers to interpret a system's output and use it appropriately."
Art.13(2),Instructions for Use,"High-risk AI systems shall be accompanied by instructions for use in an appropriate digital format or otherwise that include concise, complete, correct and clear information that is relevant, accessible and comprehensible to deployers."
Art.14(1),Human Oversight Design,"High-risk AI systems shall be designed and developed in such a way as to enable effective oversight by natural persons during the period in which they are used."
Art.14(2),Human Oversight Measures,"Human oversight shall aim at minimising risks to health, safety or fundamental rights that may emerge when a high-risk AI system is used in accordance with its intended purpose or under conditions of reasonably foreseeable misuse."
Art.14(3),Human Oversight Capabilities,"The individuals to whom human oversight is assigned shall be enabled to fully understand the capacities and limitations of the high-risk AI system and be able to duly monitor its operation."
Art.14(4),Human Override,"The individuals to whom human oversight is assigned shall be able to decide not to use the high-risk AI system or to disregard, override or reverse the output of the system."
Art.15(1),Accuracy,"High-risk AI systems shall be designed and developed in such a way that they achieve an appropriate level of accuracy, robustness and cybersecurity, and that they perform consistently in those respects throughout their lifecycle."
Art.15(2),Accuracy Levels,"The levels of accuracy and the relevant accuracy metrics of high-risk AI systems shall be declared in the accompanying instructions of use."
Art.15(3),Resilience,"High-risk AI systems shall be resilient as regards attempts by unauthorised third parties to alter their use, outputs or performance by exploiting the system vulnerabilities."
Art.15(4),Cybersecurity,"High-risk AI systems shall be designed and developed with appropriate levels of cybersecurity to ensure they are resilient against attempts to alter their use or performance."
Art.16,Provider Obligations,"Providers of high-risk AI systems shall ensure compliance with requirements, have a quality management system, maintain technical documentation, keep logs, ensure conformity assessment, affix CE marking, and take corrective action when necessary."
Art.17(1),Quality Management System,"Providers of high-risk AI systems shall put a quality management system in place that ensures compliance with this Regulation in a systematic and orderly manner."
Art.17(2),Quality System Elements,"The quality management system shall include policies and procedures for regulatory compliance, design and development techniques, testing and validation, specifications for training and validation data, risk management, post-market monitoring, and incident reporting."
Art.18,Documentation Retention,"The provider of the high-risk AI system shall keep the technical documentation and documentation of the quality management system for a period of 10 years after the AI system has been placed on the market."
Art.19,Conformity Assessment Logs,"Providers of high-risk AI systems shall keep the logs automatically generated by their high-risk AI systems to the extent such logs are under their control."
Art.20,Corrective Actions,"Providers of high-risk AI systems who consider or have reason to consider that a high-risk AI system is not in conformity with this Regulation shall immediately take the necessary corrective actions."
Art.21,Cooperation with Authorities,"Providers of high-risk AI systems shall upon a reasoned request by a competent national authority provide that authority with all the information and documentation necessary to demonstrate conformity."
Art.22,Authorized Representatives,"Providers of high-risk AI systems established in third countries shall appoint an authorised representative established in the Union prior to making their systems available on the Union market."
Art.26(1),Deployer Obligations,"Deployers of high-risk AI systems shall take appropriate technical and organisational measures to ensure they use such systems in accordance with the instructions of use."
Art.26(2),Human Oversight Assignment,"Deployers shall assign human oversight to natural persons who have the necessary competence, training and authority."
Art.26(5),Input Data Relevance,"Deployers of high-risk AI systems shall ensure that input data is relevant and sufficiently representative in view of the intended purpose of the high-risk AI system."
Art.26(6),Deployer Monitoring,"Deployers shall monitor the operation of the high-risk AI system on the basis of the instructions of use and inform providers of any serious incidents or malfunctioning."
Art.26(7),Record Keeping,"Deployers of high-risk AI systems shall keep the logs automatically generated by that high-risk AI system to the extent such logs are under their control, for a period appropriate to the intended purpose."
Art.26(8),DPIA Requirement,"Deployers of high-risk AI systems shall use the information provided under Article 13 to carry out a data protection impact assessment where required under Regulation (EU) 2016/679."
Art.26(11),Affected Persons Information,"Deployers of high-risk AI systems shall inform natural persons that they are subject to the use of the high-risk AI system."
Art.27,Fundamental Rights Impact Assessment,"Deployers of high-risk AI systems referred to in Article 6(2) that are bodies governed by public law or private entities providing public services shall perform an assessment of the impact on fundamental rights."
Art.50(1),Transparency for AI Interaction,"Providers shall ensure that AI systems intended to directly interact with natural persons are designed and developed in such a way that the natural person is informed that they are interacting with an AI system."
Art.50(2),Synthetic Content Marking,"Providers of AI systems that generate synthetic audio, image, video or text content shall ensure that the outputs of the AI system are marked in a machine-readable format and detectable as artificially generated or manipulated."
Art.50(3),Deepfake Disclosure,"Deployers of an AI system that generates or manipulates image, audio or video content constituting a deep fake shall disclose that the content has been artificially generated or manipulated."
Art.50(4),Emotion Recognition Disclosure,"Deployers of an emotion recognition system or a biometric categorisation system shall inform the natural persons exposed thereto of the operation of the system."
Art.51,AI Literacy,"Providers and deployers of AI systems shall take measures to ensure a sufficient level of AI literacy of their staff and other persons dealing with the operation and use of AI systems on their behalf."
Art.52,Obligations for Certain AI Systems,"Providers of AI systems that are intended to interact with natural persons shall ensure that such AI systems are designed and developed in such a way that it is clear to the natural person that they are interacting with an AI system."
Art.72(1),Post-Market Monitoring,"Providers shall establish and document a post-market monitoring system in a manner that is proportionate to the nature of the AI technologies and the risks of the high-risk AI system."
Art.73(1),Serious Incident Reporting,"Providers of high-risk AI systems placed on the Union market shall report any serious incident to the market surveillance authorities of the Member States where that incident occurred."
