CC1.1,COSO Principle 1,"The entity demonstrates a commitment to integrity and ethical values."
CC1.2,COSO Principle 2,"The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control."
CC1.3,COSO Principle 3,"Management establishes with board oversight structures reporting lines and appropriate authorities and responsibilities in the pursuit of objectives."
CC1.4,COSO Principle 4,"The entity demonstrates a commitment to attract develop and retain competent individuals in alignment with objectives."
CC1.5,COSO Principle 5,"The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives."
CC2.1,COSO Principle 13,"The entity obtains or generates and uses relevant quality information to support the functioning of internal control."
CC2.2,COSO Principle 14,"The entity internally communicates information including objectives and responsibilities for internal control necessary to support the functioning of internal control."
CC2.3,COSO Principle 15,"The entity communicates with external parties regarding matters affecting the functioning of internal control."
CC3.1,COSO Principle 6,"The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives."
CC3.2,COSO Principle 7,"The entity identifies risks to the achievement of its objectives across the entity and analyzes risks as a basis for determining how the risks should be managed."
CC3.3,COSO Principle 8,"The entity considers the potential for fraud in assessing risks to the achievement of objectives."
CC3.4,COSO Principle 9,"The entity identifies and assesses changes that could significantly impact the system of internal control."
CC4.1,COSO Principle 16,"The entity selects develops and performs ongoing and or separate evaluations to ascertain whether the components of internal control are present and functioning."
CC4.2,COSO Principle 17,"The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action including senior management and the board of directors as appropriate."
CC5.1,COSO Principle 10,"The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels."
CC5.2,COSO Principle 11,"The entity also selects and develops general control activities over technology to support the achievement of objectives."
CC5.3,COSO Principle 12,"The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action."
CC6.1,Logical and Physical Access Controls,"The entity implements logical access security software infrastructure and architectures over protected information assets to protect them from security events to meet the entity's objectives."
CC6.2,User Registration and Authorization,"Prior to issuing system credentials and granting system access the entity registers and authorizes new internal and external users whose access is administered by the entity."
CC6.3,Access Management,"The entity authorizes modifies or removes access to data software functions and other protected information assets based on roles responsibilities or the system design and changes giving consideration to the concepts of least privilege and segregation of duties."
CC6.4,Physical Access Restrictions,"The entity restricts physical access to facilities and protected information assets to authorized personnel to meet the entity's objectives."
CC6.5,Logical Access Restrictions,"The entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity's objectives."
CC6.6,System Boundary Protection,"The entity implements logical access security measures to protect against threats from sources outside its system boundaries."
CC6.7,Access Restriction for System Changes,"The entity restricts the transmission movement and removal of information to authorized internal and external users and processes and protects it during transmission movement or removal to meet the entity's objectives."
CC6.8,Malicious Software Prevention,"The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity's objectives."
CC7.1,Infrastructure Monitoring,"To meet its objectives the entity uses detection and monitoring procedures to identify changes to configurations that result in the introduction of new vulnerabilities and susceptibilities to newly discovered vulnerabilities."
CC7.2,Security Event Monitoring,"The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts natural disasters and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events."
CC7.3,Security Event Evaluation,"The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and if so takes actions to prevent or address such failures."
CC7.4,Incident Response,"The entity responds to identified security incidents by executing a defined incident response program to understand contain remediate and communicate security incidents as appropriate."
CC7.5,Incident Recovery,"The entity identifies develops and implements activities to recover from identified security incidents."
CC8.1,Change Management,"The entity authorizes documents tests approves and implements changes to infrastructure data software and procedures to meet its objectives."
CC9.1,Risk Mitigation,"The entity identifies selects and develops risk mitigation activities for risks arising from potential business disruptions."
CC9.2,Vendor Risk Management,"The entity assesses and manages risks associated with vendors and business partners."
A1.1,Availability Commitments,"The entity maintains communicates and supports availability objectives and commitments to authorized users."
A1.2,Recovery Planning,"The entity authorizes processes restores and tests backup data to meet its objectives relating to availability."
A1.3,Recovery Testing,"The entity tests recovery plan procedures supporting system recovery to meet its objectives."
C1.1,Confidentiality Identification,"The entity identifies and maintains confidential information to meet the entity's objectives related to confidentiality."
C1.2,Confidentiality Disposal,"The entity disposes of confidential information to meet the entity's objectives related to confidentiality."
PI1.1,Processing Integrity Accuracy,"The entity implements policies and procedures over system processing to result in products services and reporting to meet the entity's processing integrity commitments and system requirements."
PI1.2,Processing Integrity Monitoring,"The entity implements policies and procedures over system inputs including controls over completeness and accuracy to result in products services and reporting to meet the entity's processing integrity objectives."
PI1.3,Processing Integrity Error Handling,"The entity implements policies and procedures over system processing including error handling to result in products services and reporting to meet the entity's objectives."
P1.1,Privacy Notice,"The entity provides notice to data subjects about its privacy practices to meet the entity's objectives related to privacy."
P1.2,Privacy Choice and Consent,"The entity communicates choices available regarding the collection use retention disclosure and disposal of personal information to data subjects to meet the entity's objectives related to privacy."
P1.3,Privacy Collection,"The entity collects personal information only for the purposes identified in the notice and with the implicit or explicit consent of the data subject."
P1.4,Privacy Use Retention Disposal,"The entity limits the use of personal information to the purposes identified in the notice and for which the data subject has provided implicit or explicit consent."
P1.5,Privacy Access,"The entity grants identified and authenticated data subjects the ability to access their stored personal information for review and upon request provides physical or electronic copies of that information to data subjects."
P1.6,Privacy Disclosure,"The entity discloses personal information to third parties with the explicit consent of data subjects and only for the purposes identified in the notice."
P1.7,Privacy Quality,"The entity collects and maintains accurate up-to-date complete and relevant personal information to meet the entity's objectives related to privacy."
P1.8,Privacy Monitoring and Enforcement,"The entity monitors compliance with its privacy commitments and system requirements and addresses inquiries and disputes and issues remedial action."
